City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
661,Champerico,GT,87.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
663,Viamao,BR,84.96,clear sky,-30.0811,-51.0233,Hotel Itália
665,Kalamb,IN,74.57,light rain,19.05,73.95,Hotel Ravikiran
667,Mitsamiouli,KM,79.16,clear sky,-11.3847,43.2844,Foyer ADM
675,Quang Ngai,VN,73.38,broken clouds,15.1167,108.8,Central Hotel
676,Caborca,MX,79.7,overcast clouds,30.5838,-111.101,Hotel Los Lagos
677,Guatire,VE,81.1,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
679,Pundaguitan,PH,82.78,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
680,Poya,NC,80.89,broken clouds,-21.35,165.15,
684,Ukiah,US,72.57,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
690,Venice,US,77.99,broken clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
691,Jacareacanga,BR,76.21,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
694,Pekan,MY,76.59,moderate rain,3.4836,103.3996,Pekan Budget Hotel
696,Nuevo Progreso,MX,86.59,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
697,Caravelas,BR,72.05,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
699,Kango,GA,74.44,broken clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
704,Antalaha,MG,74.89,broken clouds,-14.9003,50.2788,Hotel Vitasoa
705,Saint-Leu,RE,72.46,scattered clouds,-21.15,55.2833,La Caz Oceane
706,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
711,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
