City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Egvekinot,RU,66.3167,-179.1667,-9.04,89,16,11.12,few clouds
201,Aktau,KZ,43.65,51.2,43.38,81,7,11.48,clear sky
202,Aksu,CN,41.1231,80.2644,26.56,47,0,0.78,clear sky
203,Airai,TL,-8.9266,125.4092,62.98,84,100,1.77,overcast clouds
204,Lebu,CL,-37.6167,-73.65,57.92,85,2,17.05,clear sky
205,Shebalino,RU,51.2917,85.6772,25.27,70,100,7.7,overcast clouds
206,Kangaatsiaq,GL,68.3065,-53.4641,23.88,81,100,13.29,overcast clouds
207,Hun,LY,29.1268,15.9477,62.04,54,42,7.94,scattered clouds
208,Alice Town,BS,25.7167,-79.3,77.7,80,10,12.35,clear sky
209,Te Anau,NZ,-45.4167,167.7167,50.77,96,100,1.68,overcast clouds
210,General Roca,AR,-39.0333,-67.5833,91.8,11,75,16.51,broken clouds
211,Takoradi,GH,4.8845,-1.7554,80.15,83,46,6.2,scattered clouds
212,Skreia,NO,60.65,10.9333,27.14,81,53,2.93,broken clouds
213,Ginda,IN,30.6945,78.4932,46.38,20,0,7.56,clear sky
214,Bethel,US,41.3712,-73.414,52.02,64,81,1.99,broken clouds
215,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,63,40,16.11,light rain
216,Aban,RU,56.67,96.06,14.52,93,100,4.59,overcast clouds
217,Gazanjyk,TM,39.2446,55.5154,48.96,74,32,0.87,scattered clouds
218,Carndonagh,IE,55.25,-7.2667,44.24,71,93,6.17,overcast clouds
219,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,10.36,few clouds
220,Raudeberg,NO,61.9875,5.1352,38.86,86,100,3.0,overcast clouds
221,Quatre Cocos,MU,-20.2078,57.7625,73.51,74,34,9.98,light rain
222,Kruisfontein,ZA,-34.0033,24.7314,66.88,92,98,8.59,overcast clouds
223,Ondjiva,AO,-17.0667,15.7333,78.22,26,66,4.43,broken clouds
224,Comacchio,IT,44.6975,12.1858,47.21,81,95,5.08,overcast clouds
225,Northam,GB,51.0333,-4.2167,42.3,68,7,16.24,clear sky
226,Mount Gambier,AU,-37.8333,140.7667,53.51,82,56,6.91,broken clouds
227,Zverinogolovskoye,RU,54.4586,64.8542,28.31,96,100,13.87,light snow
228,Praia,CV,14.9215,-23.5087,79.34,69,0,19.57,clear sky
229,Firminy,FR,45.3873,4.2907,39.22,100,90,5.75,overcast clouds
230,Port Said,EG,31.2565,32.2841,64.38,77,0,11.5,clear sky
231,Kasulu,TZ,-4.5767,30.1025,63.21,90,91,2.17,overcast clouds
232,Wellington,NZ,-41.2866,174.7756,66.06,71,75,1.01,broken clouds
233,Jones,PH,16.5571,121.7029,73.26,96,43,0.96,scattered clouds
234,Kisangani,CD,0.5167,25.2,68.09,99,100,4.27,light rain
235,Thunder Bay,CA,48.4001,-89.3168,24.3,65,75,19.57,light snow
236,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,64,75,5.75,broken clouds
237,Yeniseysk,RU,58.4497,92.1703,12.33,93,100,4.47,overcast clouds
238,Chon Daen,TH,16.1895,100.8596,75.63,82,75,2.91,broken clouds
239,Veraval,IN,20.9,70.3667,81.07,66,94,9.51,overcast clouds
240,Tura,IN,25.5198,90.2201,61.29,79,3,2.39,clear sky
241,Pisco,PE,-13.7,-76.2167,69.85,73,0,16.11,clear sky
242,Matagami,CA,49.7502,-77.6328,33.91,93,90,12.66,overcast clouds
243,Provideniya,RU,64.3833,-173.3,8.71,56,0,6.71,clear sky
244,Amarillo,US,35.222,-101.8313,57.61,37,75,5.99,broken clouds
245,Kouroussa,GN,10.65,-9.8833,75.38,32,9,2.28,clear sky
246,Vostok,RU,46.4856,135.8833,27.55,74,98,17.09,overcast clouds
247,Avarua,CK,-21.2078,-159.775,80.65,74,75,8.05,broken clouds
248,Haines Junction,CA,60.7522,-137.5108,-2.25,78,100,2.3,overcast clouds
249,Feijo,BR,-8.1642,-70.3536,81.3,75,99,2.8,moderate rain
250,Saint George,US,37.1041,-113.5841,70.27,19,0,4.0,clear sky
251,Norrtalje,SE,59.758,18.705,32.85,72,64,7.99,broken clouds
252,Boddam,GB,57.4667,-1.7833,43.18,73,81,20.69,light rain
253,Alugan,PH,12.2188,125.4808,80.96,82,72,4.23,broken clouds
254,Ancud,CL,-41.8697,-73.8203,62.13,95,100,8.28,light rain
255,Winona,US,43.9666,-91.7668,33.22,40,1,17.27,clear sky
256,Fairbanks,US,64.8378,-147.7164,-11.4,68,1,0.0,haze
257,Shenjiamen,CN,29.9576,122.298,53.94,80,100,29.42,light rain
258,Deputatskiy,RU,69.3,139.9,-17.0,100,100,0.49,overcast clouds
259,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,81.03,45,24,6.44,few clouds
260,Isangel,VU,-19.55,169.2667,84.31,74,75,5.75,broken clouds
261,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,79.61,75,52,4.36,broken clouds
262,Cidreira,BR,-30.1811,-50.2056,69.69,75,0,11.88,clear sky
263,Grand-Santi,GF,4.25,-54.3833,75.88,87,57,3.15,broken clouds
264,Dikson,RU,73.5069,80.5464,-10.19,77,4,9.1,clear sky
265,Urengoy,RU,65.9667,78.3667,10.56,94,100,17.16,light snow
266,Yamethin,MM,20.4333,96.15,67.87,83,11,2.75,few clouds
267,Pocatello,US,42.8713,-112.4455,46.47,54,57,3.0,broken clouds
268,Mercedes,AR,-34.6515,-59.4307,93.51,15,28,9.33,scattered clouds
269,Beringovskiy,RU,63.05,179.3167,1.65,99,100,12.24,overcast clouds
270,Waingapu,ID,-9.6567,120.2641,80.1,79,82,3.13,broken clouds
271,Kamloops,CA,50.6665,-120.3192,36.59,87,90,9.22,overcast clouds
272,Naze,JP,28.3667,129.4833,68.92,86,100,10.76,overcast clouds
273,Lusambo,CD,-4.9667,23.45,69.06,99,99,1.43,overcast clouds
274,Katsuura,JP,35.1333,140.3,60.82,82,100,24.85,overcast clouds
275,Ca Mau,VN,9.1769,105.15,76.26,95,93,7.96,overcast clouds
276,Tiznit,MA,29.5833,-9.5,62.35,62,80,2.15,broken clouds
277,Umm Kaddadah,SD,13.6017,26.6876,70.3,24,12,15.46,few clouds
278,Tromso,NO,69.6496,18.957,25.38,86,40,8.05,light shower snow
279,Vao,NC,-22.6667,167.4833,73.85,78,18,8.19,few clouds
280,Gunnedah,AU,-30.9833,150.25,65.82,90,100,7.0,overcast clouds
281,Sibolga,ID,1.7427,98.7792,75.67,91,100,3.42,light rain
282,Hay River,CA,60.8156,-115.7999,3.18,78,75,2.3,broken clouds
283,Lavrentiya,RU,65.5833,-171.0,0.09,89,6,8.95,clear sky
284,Vila,PT,42.0304,-8.1588,44.33,83,3,4.47,clear sky
285,Emerald,AU,-23.5333,148.1667,81.99,29,50,9.22,scattered clouds
286,Srednekolymsk,RU,67.45,153.6833,-22.85,100,100,0.56,overcast clouds
287,Znamenskoye,RU,57.1281,73.8282,16.99,91,99,10.09,overcast clouds
288,Phan Thiet,VN,10.9333,108.1,75.76,88,57,4.88,broken clouds
289,Yarmouth,US,41.7057,-70.2286,55.04,92,54,4.0,broken clouds
290,Killybegs,IE,54.6333,-8.45,40.44,69,20,8.61,few clouds
291,Balikpapan,ID,-1.2675,116.8289,76.19,100,20,3.44,few clouds
292,Buinsk,RU,54.95,48.2833,31.89,88,93,15.39,overcast clouds
293,Cap Malheureux,MU,-19.9842,57.6142,73.89,76,55,13.76,light rain
294,Khorramshahr,IR,30.4397,48.1664,69.76,64,75,6.91,broken clouds
295,Mount Darwin,ZW,-16.7725,31.5838,72.68,67,68,7.2,broken clouds
296,Banikoara,BJ,11.2985,2.4386,79.45,18,1,3.71,clear sky
297,Mao,ES,39.8885,4.2658,57.76,94,20,5.75,few clouds
298,Komsomolskiy,UZ,40.4272,71.7189,33.22,55,100,9.22,overcast clouds
299,Pathalgaon,IN,22.5667,83.4667,67.44,65,6,3.13,clear sky
300,Altay,CN,47.8667,88.1167,17.73,50,25,8.14,scattered clouds
301,Beruwala,LK,6.4788,79.9828,78.91,75,76,8.97,broken clouds
302,Kidal,ML,18.4411,1.4078,75.94,22,28,12.5,scattered clouds
303,Chelno-Vershiny,RU,54.4333,51.1,30.49,94,99,13.82,overcast clouds
304,Brigantine,US,39.4101,-74.3646,53.89,82,90,4.61,overcast clouds
305,Djambala,CG,-2.5447,14.7533,66.76,94,99,3.6,overcast clouds
306,Benghazi,LY,32.1167,20.0667,67.3,65,88,4.27,overcast clouds
307,Sipe Sipe,BO,-17.45,-66.3833,82.89,37,50,9.55,scattered clouds
308,Kununurra,AU,-15.7667,128.7333,82.38,69,40,6.91,scattered clouds
309,Ballina,AU,-28.8667,153.5667,69.84,94,90,5.75,light rain
310,Taiyuan,CN,37.8694,112.5603,21.06,27,0,8.95,clear sky
311,Lixourion,GR,38.2019,20.4314,61.02,78,27,5.95,scattered clouds
312,Kempsey,AU,-31.0833,152.8333,66.94,96,100,11.01,moderate rain
313,Chincha Alta,PE,-13.4099,-76.1323,68.59,78,52,6.33,broken clouds
314,Price,US,39.5994,-110.8107,49.12,23,2,2.48,clear sky
315,Roma,US,43.2128,-75.4557,46.04,70,100,4.0,overcast clouds
316,Oksbol,DK,55.6268,8.2876,34.83,88,3,10.6,clear sky
317,Dunedin,NZ,-45.8742,170.5036,51.78,87,100,4.43,overcast clouds
318,Olot,ES,42.181,2.4901,52.36,43,99,2.3,overcast clouds
319,Port-Gentil,GA,-0.7193,8.7815,80.04,85,100,9.31,overcast clouds
320,Marabba,SD,12.35,32.1833,78.06,18,89,13.44,overcast clouds
321,Uncia,BO,-18.467,-66.5685,57.76,40,96,18.39,overcast clouds
322,Vanimo,PG,-2.6741,141.3028,78.1,89,99,4.5,overcast clouds
323,Abu Samrah,SY,35.3029,37.1841,56.68,69,30,2.44,scattered clouds
324,Rio Grande,BR,-32.035,-52.0986,89.71,67,0,8.01,clear sky
325,Ericeira,PT,38.9627,-9.4156,58.3,97,9,6.08,clear sky
326,Krasnoselkup,RU,65.7,82.4667,7.92,93,100,19.13,overcast clouds
327,Camacha,PT,33.0833,-16.3333,64.53,82,75,12.66,broken clouds
328,San Andres,CO,12.5847,-81.7006,84.22,74,75,8.05,broken clouds
329,Dwarka,IN,22.2394,68.9678,79.68,71,75,13.27,broken clouds
330,Sorland,NO,67.667,12.6934,26.67,66,100,10.36,light snow
331,Changtu,CN,42.7788,124.0955,20.64,90,100,13.15,light snow
332,Oshogbo,NG,7.7667,4.5667,73.87,89,16,2.55,few clouds
333,Tabou,CI,4.423,-7.3528,78.84,85,13,5.41,light rain
334,Kefamenanu,ID,-9.4467,124.4781,74.7,87,95,1.39,overcast clouds
335,Nhulunbuy,AU,-12.2333,136.7667,84.81,74,31,1.14,scattered clouds
336,Lensk,RU,60.7253,114.9278,-6.43,100,96,2.53,overcast clouds
337,Edwardsville,US,38.8114,-89.9532,61.68,54,81,1.01,broken clouds
338,Tomigusuku,JP,26.185,127.675,76.77,78,40,9.22,scattered clouds
339,Grosse Ile,US,42.1292,-83.1444,45.01,92,90,8.05,overcast clouds
340,Esmeraldas,BR,-19.7625,-44.3139,71.71,92,65,8.88,broken clouds
341,Vestmannaeyjar,IS,63.4427,-20.2734,44.91,81,100,19.13,overcast clouds
342,Enid,US,36.3956,-97.8784,61.02,33,40,8.01,scattered clouds
343,Miraflores,MX,19.2167,-98.8083,69.87,56,66,1.21,broken clouds
344,Lublin,PL,51.0,23.0,44.19,80,99,7.63,overcast clouds
